p,rho,theta,sigma1,sigma2,sigma3,f
-52.63157894736844,300.62409077365703,3.612831551628262,-186.31788254070224,-164.06742521387002,192.49057091246692,0.0
-368.42105263157896,300.62409077365703,1.5184364492350666,-479.8568988980805,-123.29890277174354,-502.1073562249127,0.0
578.9473684210525,287.3276622730955,3.508111796508602,431.3075121498552,494.873511423017,810.6610816902851,0.0
-157.89473684210532,226.9131517797465,3.2463124087094526,-307.78439984466354,-177.26112375647267,11.361313074820288,0.0
-1000.0,265.03079337891245,5.497787143782138,-790.976803360116,-1153.015599900855,-1056.0075967390285,0.0
52.631578947368325,158.28766035702844,0.3665191429188091,133.9657854756759,98.94753062473146,-75.0185792583024,0.0
-578.9473684210527,295.443893165059,5.654866776461628,-339.03991710701405,-720.7381750932866,-677.0640130628575,0.0
789.4736842105262,145.6768454973891,4.39822971502571,814.2036667300248,676.3506032980147,877.8667826035389,-25.70767861718632
52.631578947368325,179.62924780409958,5.235987755982988,179.6486381690858,-74.3854802743493,52.63157894736843,-24.494897427831763
-1000.0,302.406141084343,5.759586531581287,-753.0864197530863,-1123.4567901234568,-1123.4567901234566,0.0
-684.2105263157895,216.37159394584737,1.0471975511965976,-684.2105263157895,-531.2127049805388,-837.2083476510403,12.247448713915857
52.631578947368325,259.99062598525194,1.6755160819145565,-72.14433092419745,263.75013610372224,-33.71106833741985,-35.45326717980708
