p,rho,theta,sigma1,sigma2,sigma3,I1,I2,I3,f
631.5789473684214,377.432324305978,0.418879020478639,812.7180230629804,756.9238744323588,325.094944609925,1894.7368421052643,1125448.320561503,199987250.98733416,-57.68223195147951
684.2105263157898,408.8850179981425,0.418879020478639,880.444524984895,820.0008639683886,352.18618999408557,2052.6315789473692,1320838.6539923192,254266198.15924367,-62.48908461410275
736.8421052631581,440.33771169030723,0.418879020478639,948.1710269068099,883.0778535044183,379.2774353782459,2210.526315789474,1531860.2140976004,317572347.6326646,-67.29593727672602
789.4736842105266,471.7904053824725,0.418879020478639,1015.8975288287252,946.1548430404483,406.368680762406,2368.421052631579,1758513.0008773475,390600099.58463657,-72.10278993934938
842.1052631578949,503.24309907463703,0.418879020478639,1083.6240307506398,1009.2318325764779,433.45992614656654,2526.315789473684,2000797.0143315592,474043854.1921988,-76.90964260197264
894.7368421052632,534.6957927668017,0.418879020478639,1151.3505326725547,1072.3088221125076,460.55117153072695,2684.2105263157896,2258712.254460236,568598011.6323907,-81.71649526459589
947.3684210526316,566.1484864589663,0.418879020478639,1219.0770345944695,1135.3858116485374,487.64241691488735,2842.105263157894,2532258.7212633784,674956972.0822515,-86.52334792721915
1000.0,597.6011801511314,0.418879020478639,1286.8035365163846,1198.4628011845675,514.7336622990476,3000.0,2821436.414740987,793815135.7188208,-91.33020058984249
1e-12,6.153316621031258e-13,0.5235987755982988,1.2512080991218886e-12,1.2512080991218884e-12,4.975838017562229e-13,2.9999999999999997e-12,2.810683472806702e-24,7.789782428543117e-37,-9.403991490603695e-14
52.63157894736937,31.30926738895846,0.5235987755982988,65.41353383458764,65.41353383458762,27.067669172932828,157.8947368421081,7820.114195262873,115820.67271747181,-4.784933105773715
105.26315789473772,62.61853477791635,0.5235987755982988,130.82706766917403,130.827067669174,54.135338345865094,315.78947368421314,31280.456781050885,926565.3817397471,-9.569866211547343
157.89473684210608,93.92780216687422,0.5235987755982988,196.2406015037604,196.2406015037604,81.20300751879739,473.68421052631817,70381.02775736403,3127158.163371617,-14.354799317320966
210.52631578947447,125.23706955583215,0.5235987755982988,261.65413533834686,261.6541353383468,108.2706766917297,631.5789473684233,125121.82712420239,7412523.053917876,-19.1397324230946
263.1578947368429,156.54633694479,0.5235987755982988,327.0676691729332,327.0676691729332,135.33834586466202,789.4736842105285,195502.8548815659,14477584.089683311,-23.92466552886822
315.7894736842112,187.85560433374775,0.5235987755982988,392.4812030075195,392.4812030075195,162.4060150375944,947.3684210526335,281524.11102945445,25017265.306972712,-28.709598634641825
368.4210526315796,219.16487172270573,0.5235987755982988,457.8947368421061,457.894736842106,189.47368421052667,1105.2631578947387,383185.5955678684,39726490.742090896,-33.49453174041547
421.052631578948,250.47413911166373,0.5235987755982988,523.3082706766925,523.3082706766925,216.5413533834589,1263.157894736844,500487.3084968073,59300184.4313426,-38.27946484618911
473.6842105263164,281.78340650062165,0.5235987755982988,588.721804511279,588.7218045112788,243.60902255639118,1421.0526315789489,633429.2498162714,84433270.41103266,-43.064397951962746
526.3157894736847,313.09267388957943,0.5235987755982988,654.1353383458652,654.1353383458652,270.67669172932347,1578.9473684210539,782011.4195262606,115820672.7174658,-47.84933105773635
578.947368421053,344.40194127853727,0.5235987755982988,719.5488721804517,719.5488721804516,297.7443609022559,1736.842105263159,946233.817626775,154157315.38694698,-52.634264163509975
631.5789473684214,375.71120866749504,0.5235987755982988,784.9624060150379,784.9624060150379,324.81203007518826,1894.736842105264,1126096.4441178145,200138122.4557808,-57.41919726928358
684.2105263157898,407.02047605645294,0.5235987755982988,850.3759398496244,850.3759398496243,351.87969924812046,2052.6315789473692,1321599.2989993792,254458017.9602721,-62.20413037505721
736.8421052631581,438.3297434454109,0.5235987755982988,915.7894736842107,915.7894736842106,378.9473684210527,2210.526315789474,1532742.3822714686,317811925.9367257,-66.98906348083085
